"Título","","","","","","","","","","",""
"Lista por Áreas de : H: Su hogar tiene: Conexión a Internet, H: Su hogar tiene: Conexión a TV por cable o satelital, H: Su hogar tiene: Teléfono celular, H: Su hogar tiene: Teléfono fijo","","","","","","","","","","",""
"Área Geográfica","","","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Código","Provincia","Sí tiene conexión a internet","No tiene conexión a internet","Sí tiene conexión a TV por cable o satelital","No tiene conexión a TV por cable o satelital","Sí tiene teléfono celular","No tiene teléfono celular","Sí tiene teléfono fijo","No tiene teléfono fijo",""
"","507","Ayacucho, provincia: Parinacochas","00 000 000 000 280","00 000 000 007 967","00 000 000 001 239","00 000 000 007 008","00 000 000 006 236","00 000 000 002 011","00 000 000 000 110","00 000 000 008 137",""
"","508","Ayacucho, provincia: Páucar del Sara Sara","00 000 000 000 096","00 000 000 003 237","00 000 000 000 256","00 000 000 003 077","00 000 000 002 586","00 000 000 000 747","00 000 000 000 044","00 000 000 003 289",""
"","509","Ayacucho, provincia: Sucre","00 000 000 000 068","00 000 000 003 344","00 000 000 000 184","00 000 000 003 228","00 000 000 002 469","00 000 000 000 943","00 000 000 000 020","00 000 000 003 392",""
"","510","Ayacucho, provincia: Víctor Fajardo","00 000 000 000 104","00 000 000 007 269","00 000 000 000 298","00 000 000 007 075","00 000 000 004 875","00 000 000 002 498","00 000 000 000 034","00 000 000 007 339",""
"","511","Ayacucho, provincia: Vilcas Huamán","00 000 000 000 036","00 000 000 006 134","00 000 000 000 072","00 000 000 006 098","00 000 000 003 752","00 000 000 002 418","00 000 000 000 026","00 000 000 006 144",""
"","601","Cajamarca, provincia: Cajamarca","00 000 000 023 123","00 000 000 073 054","00 000 000 019 178","00 000 000 076 999","00 000 000 078 980","00 000 000 017 197","00 000 000 014 607","00 000 000 081 570",""
"","602","Cajamarca, provincia: Cajabamba","00 000 000 001 104","00 000 000 019 928","00 000 000 001 451","00 000 000 019 581","00 000 000 015 139","00 000 000 005 893","00 000 000 000 320","00 000 000 020 712",""
"","603","Cajamarca, provincia: Celendín","00 000 000 001 047","00 000 000 022 851","00 000 000 001 393","00 000 000 022 505","00 000 000 015 548","00 000 000 008 350","00 000 000 000 403","00 000 000 023 495",""
"","604","Cajamarca, provincia: Chota","00 000 000 002 159","00 000 000 042 334","00 000 000 003 183","00 000 000 041 310","00 000 000 033 284","00 000 000 011 209","00 000 000 000 640","00 000 000 043 853",""
"","605","Cajamarca, provincia: Contumazá","00 000 000 000 439","00 000 000 008 649","00 000 000 001 713","00 000 000 007 375","00 000 000 006 271","00 000 000 002 817","00 000 000 000 233","00 000 000 008 855",""
